id,gid,x,y,v_x,v_y,radius,time
0,0,-8.950877,-0.999719,0.491232,0.002810,0.750000,0.100000
1,0,-8.897442,1.003597,1.025575,0.035973,0.750000,0.100000
2,1,-0.060734,0.001200,-0.607343,0.012001,0.750000,0.100000
0,0,-8.844201,-0.995707,1.066754,0.040120,0.750000,0.200000
1,0,-8.773314,0.996844,1.241288,-0.067533,0.750000,0.200000
2,1,-0.140470,0.003400,-0.797357,0.021999,0.750000,0.200000
0,0,-8.748603,-0.999612,0.955981,-0.039047,0.750000,0.300000
1,0,-8.644889,0.999729,1.284245,0.028853,0.750000,0.300000
2,1,-0.248235,0.000329,-1.077655,-0.030712,0.750000,0.300000
0,0,-8.637129,-0.995463,1.114738,0.041482,0.750000,0.400000
1,0,-8.515883,0.991525,1.290062,-0.082046,0.750000,0.400000
2,1,-0.376210,0.010089,-1.279745,0.097600,0.750000,0.400000
0,0,-8.528177,-0.992324,1.089522,0.031394,0.750000,0.500000
1,0,-8.373595,1.008966,1.422883,0.174409,0.750000,0.500000
2,1,-0.508344,0.022111,-1.321345,0.120221,0.750000,0.500000
0,0,-8.412450,-0.997728,1.157273,-0.054038,0.750000,0.600000
1,0,-8.227341,1.024012,1.462539,0.150464,0.750000,0.600000
2,1,-0.644656,0.032892,-1.363111,0.107811,0.750000,0.600000
0,0,-8.305579,-0.983883,1.068708,0.138449,0.750000,0.700000
1,0,-8.086782,1.042241,1.405590,0.182291,0.750000,0.700000
2,1,-0.786097,0.046621,-1.414413,0.137293,0.750000,0.700000
0,0,-8.182580,-0.986279,1.229989,-0.023959,0.750000,0.800000
1,0,-7.962377,1.047791,1.244049,0.055501,0.750000,0.800000
2,1,-0.925534,0.054372,-1.394367,0.077503,0.750000,0.800000
0,0,-8.054190,-1.000384,1.283907,-0.141047,0.750000,0.900000
1,0,-7.838657,1.047847,1.237199,0.000559,0.750000,0.900000
2,1,-1.056932,0.060916,-1.313984,0.065438,0.750000,0.900000
0,0,-7.940721,-1.023672,1.134682,-0.232885,0.750000,1.000000
1,0,-7.719500,1.058055,1.191568,0.102079,0.750000,1.000000
